song1;song2;similarity
Lua Feiticeira;O Meu Curso;0.7675
Secreto Desejo;RaussETunas;0.7671
Embuste Das Cidras;Zé Fadista;0.7666
Vamos Ao Festival;Coração De Estudante;0.7665
Zé Fadista;Fraldiqueiros De Mindelo;0.7657
Fraldiqueiros De Mindelo;Hino Do Lagoa Azul;0.7657
Taberna Transmontana;RaussETunas;0.7655
Azevinho;Para Ti;0.7633
Embuste Das Cidras;Sempre Bragança;0.7620
Hino Do Caloiro;Sempre Bragança;0.7589
Febres Altas;RaussETunas;0.7589
Azevinho;Vamos Ao Festival;0.7559
Hino Do Caloiro;O Meu Curso;0.7558
Lágrima;Vamos Ao Festival;0.7551
Hino Do Caloiro;Sapo Estudante;0.7546
RaussETunas;Fraldiqueiros De Mindelo;0.7515
Secreto Desejo;Vamos Ao Festival;0.7511
A Aventura Começou;Lua Feiticeira;0.7488
Hino Do Caloiro;Hino Da RaussTuna;0.7466
Hino Do Caloiro;Fim De Semana;0.7398
Fim De Semana;Lua Feiticeira;0.7360
Embuste Das Cidras;RaussETunas;0.7357
Tempo;Vamos Ao Festival;0.7326
Lua Feiticeira;Promessa De Estudante;0.7291
Lua Feiticeira;Fraldiqueiros De Mindelo;0.7266
Hino Do Caloiro;Vamos Ao Festival;0.7250
Hino Do Caloiro;Promessa De Estudante;0.7206
Febres Altas;Vamos Ao Festival;0.7195
Hino Do Caloiro;Rauss, Quero Voltar;0.7190
Hino Do Caloiro;Coração De Estudante;0.7117
Lua Feiticeira;RaussETunas;0.7081
Hino Do Caloiro;Fraldiqueiros De Mindelo;0.7065
Hino Do Caloiro;Carta Sem Endereço;0.6962
Vamos Ao Festival;Para Ti;0.6954
Hino Do Caloiro;Serenata Menina;0.6950
Zé Fadista;RaussETunas;0.6932
Hino Do Caloiro;Azevinho;0.6930
Hino Do Caloiro;Carpe Diem;0.6889
Embuste Das Cidras;Lua Feiticeira;0.6871
Hino Do Caloiro;Digressão;0.6847
Hino Do Caloiro;RaussETunas;0.6839
Zé Fadista;Vamos Ao Festival;0.6735
A Tuna;Hino Do Caloiro;0.6722
Hino Do Caloiro;Noite Puxa Noite;0.6704
Lua Feiticeira;Vamos Ao Festival;0.6630
Hino Do Caloiro;Hino Do Lagoa Azul;0.6599
Lágrima;Hino Do Caloiro;0.6583
Hino Do Caloiro;Secreto Desejo;0.6540
Taberna Transmontana;Hino Do Caloiro;0.6481
Hino Do Caloiro;Lado A Lado;0.6373
Hino Do Caloiro;Tempo;0.6348
Hino Do Caloiro;Zé Fadista;0.6317
Embuste Das Cidras;Hino Do Caloiro;0.6311
Hino Do Caloiro;Febres Altas;0.6207
Hino Do Caloiro;Para Ti;0.5888
Hino Do Caloiro;Lua Feiticeira;0.5747
