song1;song2;similarity
Sempre Bragança;Rauss, Quero Voltar;0.6408
A Aventura Começou;Fraldiqueiros de Mindelo;0.6389
Vamos Ao Festival;Hino da RaussTuna;0.6385
Sempre Bragança;Coração de Estudante;0.6382
Vida De Caloiro;Secreto Desejo;0.6382
A Tuna!;A Aventura Começou;0.6376
Noite Puxa Noite;Hino da RaussTuna;0.6367
A Tuna!;Rauss, Quero Voltar;0.6341
Noite Puxa Noite;Digressão;0.6339
Carpe Diem;Fraldiqueiros de Mindelo;0.6339
Noite Puxa Noite;Para Ti;0.6331
Sempre Bragança;Carta Sem Endereço;0.6323
Lua Feiticeira;Digressão;0.6319
Embuste Das Cidras;Tempo;0.6315
Embuste Das Cidras;Serenata Menina;0.6312
O Meu Curso;Vamos Ao Festival;0.6311
Zé Fadista;Fraldiqueiros de Mindelo;0.6309
Carta Sem Endereço;Digressão;0.6291
Carta Sem Endereço;Fraldiqueiros de Mindelo;0.6285
Febres Altas;O Meu Curso;0.6269
Embuste Das Cidras;Rauss, Quero Voltar;0.6266
Vida De Caloiro;Hino Do Lagoa Azul;0.6264
O Meu Curso;Digressão;0.6259
Fraldiqueiros de Mindelo;Hino da RaussTuna;0.6257
Lua Feiticeira;O Meu Curso;0.6256
Vida De Caloiro;Lado a Lado;0.6254
A Tuna!;Vida De Caloiro;0.6249
Rauss, Quero Voltar;Azevinho;0.6229
Lágrima;Azevinho;0.6222
A Tuna!;Digressão;0.6199
Lágrima;A Aventura Começou;0.6191
Fraldiqueiros de Mindelo;Vamos Ao Festival;0.6181
Taberna Transmontana;Fraldiqueiros de Mindelo;0.6174
Azevinho;Digressão;0.6170
Embuste Das Cidras;Digressão;0.6147
O Meu Curso;Azevinho;0.6135
Sempre Bragança;Sapo Estudante;0.6130
A Aventura Começou;Lado a Lado;0.6123
Sempre Bragança;O Meu Curso;0.6121
A Tuna!;Sempre Bragança;0.6119
Embuste Das Cidras;Secreto Desejo;0.6113
Carta Sem Endereço;Vamos Ao Festival;0.6104
Febres Altas;Fim De Semana;0.6099
Hino Do Caloiro;Fraldiqueiros de Mindelo;0.6099
Sempre Bragança;Zé Fadista;0.6093
Coração de Estudante;Digressão;0.6090
Hino Do Lagoa Azul;Vamos Ao Festival;0.6085
Embuste Das Cidras;Zé Fadista;0.6084
Vida De Caloiro;Lua Feiticeira;0.6081
Lua Feiticeira;Rauss, Quero Voltar;0.6065
Hino Do Caloiro;Vamos Ao Festival;0.6064
A Aventura Começou;Zé Fadista;0.6062
Vida De Caloiro;Vamos Ao Festival;0.6062
Febres Altas;Digressão;0.6058
Vida De Caloiro;Fraldiqueiros de Mindelo;0.6048
Carpe Diem;Zé Fadista;0.6043
Secreto Desejo;Digressão;0.6037
Sempre Bragança;Fim De Semana;0.6035
Fraldiqueiros de Mindelo;Para Ti;0.6030
Sempre Bragança;Hino Do Lagoa Azul;0.6027
Sempre Bragança;Lado a Lado;0.6001
Embuste Das Cidras;Carpe Diem;0.5995
Vamos Ao Festival;Serenata Menina;0.5992
Vamos Ao Festival;Lado a Lado;0.5989
Embuste Das Cidras;O Meu Curso;0.5952
