song1; song2; similarity
A Tuna!; Vamos Ao Festival; 0.6781
A Tuna!; Rauss, Quero Voltar; 0.6726
Febres Altas; Sempre Bragança; 0.6723
Embuste Das Cidras; Zé Fadista; 0.6718
Lua Feiticeira; Vamos Ao Festival; 0.6709
Lágrima; Zé Fadista; 0.6709
Fim De Semana; Fraldiqueiros de Mindelo; 0.6709
Hino Do Caloiro; Rauss, Quero Voltar; 0.6703
Azevinho; Vamos Ao Festival; 0.6700
Carta Sem Endereço; Digressão; 0.6695
Sempre Bragança; Vamos Ao Festival; 0.6691
Sempre Bragança; Fim De Semana; 0.6679
Hino Do Caloiro; Secreto Desejo; 0.6675
Sempre Bragança; Digressão; 0.6614
Embuste Das Cidras; A Tuna!; 0.6594
Hino Do Caloiro; Zé Fadista; 0.6589
Carta Sem Endereço; Zé Fadista; 0.6576
Zé Fadista; Rauss, Quero Voltar; 0.6537
Hino Do Caloiro; Serenata Menina; 0.6536
Hino Do Caloiro; Tempo; 0.6509
Hino Do Caloiro; Promessa de Estudante; 0.6469
Zé Fadista; Vamos Ao Festival; 0.6417
Hino Do Caloiro; Carta Sem Endereço; 0.6412
Hino Do Caloiro; Hino Do Lagoa Azul; 0.6393
A Tuna!; Digressão; 0.6389
Fim De Semana; Lua Feiticeira; 0.6355
Hino Do Caloiro; Para Ti; 0.6239
Febres Altas; Vamos Ao Festival; 0.6216
Zé Fadista; Digressão; 0.6185
Lágrima; Hino Do Caloiro; 0.6125
Hino Do Caloiro; Noite Puxa Noite; 0.6096
Fim De Semana; Coração de Estudante; 0.6072
Taberna Transmontana; Hino Do Caloiro; 0.6067
Hino Do Caloiro; Febres Altas; 0.6053
Hino Do Caloiro; Fim De Semana; 0.6017
Fim De Semana; Zé Fadista; 0.5893
Hino Do Caloiro; Digressão; 0.5856
Hino Do Caloiro; Lado a Lado; 0.5764
A Tuna!; Fim De Semana; 0.5656
Embuste Das Cidras; Hino Do Caloiro; 0.5430
A Tuna!; Rauss&Tuna'S; 0.2046
Lua Feiticeira; Rauss&Tuna'S; 0.1987
Sapo Estudante; Rauss&Tuna'S; 0.1754
Zé Fadista; Rauss&Tuna'S; 0.1627
Secreto Desejo; Rauss&Tuna'S; 0.1309
Rauss&Tuna'S; Azevinho; 0.1264
Sempre Bragança; Rauss&Tuna'S; 0.1261
Carta Sem Endereço; Rauss&Tuna'S; 0.1257
Rauss&Tuna'S; Para Ti; 0.1139
O Meu Curso; Rauss&Tuna'S; 0.1001
Febres Altas; Rauss&Tuna'S; 0.0766
A Aventura Começou; Rauss&Tuna'S; 0.0758
Hino Do Caloiro; Rauss&Tuna'S; 0.0725
Rauss&Tuna'S; Coração de Estudante; 0.0665
Taberna Transmontana; Rauss&Tuna'S; 0.0621
Lágrima; Rauss&Tuna'S; 0.0495
Tempo; Rauss&Tuna'S; 0.0467
Rauss&Tuna'S; Vamos Ao Festival; 0.0259
Rauss&Tuna'S; Fraldiqueiros de Mindelo; 0.0234
Rauss&Tuna'S; Hino Do Lagoa Azul; 0.0226
Rauss&Tuna'S; Serenata Menina; 0.0150
Embuste Das Cidras; Rauss&Tuna'S; 0.0097
Carpe Diem; Rauss&Tuna'S; 0.0033
Rauss&Tuna'S; Digressão; -0.0034
Rauss&Tuna'S; Lado a Lado; -0.0196
Rauss&Tuna'S; Hino da RaussTuna; -0.0250
Rauss&Tuna'S; Promessa de Estudante; -0.0382
Vida De Caloiro; Rauss&Tuna'S; -0.0437
Noite Puxa Noite; Rauss&Tuna'S; -0.0509
Rauss&Tuna'S; Rauss, Quero Voltar; -0.0597
Fim De Semana; Rauss&Tuna'S; -0.0643
