song1; song2; similarity
Embuste Das Cidras; Carta Sem Endereço; 0.8234
Sempre Bragança; Coração de Estudante; 0.8233
Taberna Transmontana; Rauss, Quero Voltar; 0.8232
A Aventura Começou; Lado a Lado; 0.8221
Noite Puxa Noite; Hino da RaussTuna; 0.8221
Carta Sem Endereço; Azevinho; 0.8214
Taberna Transmontana; Tempo; 0.8211
Febres Altas; Carpe Diem; 0.8203
Febres Altas; A Aventura Começou; 0.8201
Promessa de Estudante; Digressão; 0.8199
Taberna Transmontana; Vida De Caloiro; 0.8197
Taberna Transmontana; A Aventura Começou; 0.8195
Embuste Das Cidras; Sapo Estudante; 0.8190
Hino Do Lagoa Azul; Lado a Lado; 0.8189
Vida De Caloiro; Lado a Lado; 0.8180
A Tuna!; Sempre Bragança; 0.8179
Sapo Estudante; Fraldiqueiros de Mindelo; 0.8174
Rauss, Quero Voltar; Hino Do Lagoa Azul; 0.8172
A Tuna!; Zé Fadista; 0.8172
Carpe Diem; Noite Puxa Noite; 0.8168
Taberna Transmontana; Secreto Desejo; 0.8168
Carpe Diem; Lua Feiticeira; 0.8161
A Aventura Começou; Coração de Estudante; 0.8158
A Aventura Começou; Azevinho; 0.8152
Promessa de Estudante; Lado a Lado; 0.8149
Lágrima; Sempre Bragança; 0.8149
Carpe Diem; Para Ti; 0.8144
Embuste Das Cidras; Noite Puxa Noite; 0.8141
Febres Altas; Lua Feiticeira; 0.8134
Carpe Diem; Digressão; 0.8134
Sempre Bragança; Sapo Estudante; 0.8128
Tempo; A Aventura Começou; 0.8124
Lágrima; Fraldiqueiros de Mindelo; 0.8109
Carta Sem Endereço; Hino Do Lagoa Azul; 0.8109
Taberna Transmontana; O Meu Curso; 0.8105
Vida De Caloiro; Secreto Desejo; 0.8102
Noite Puxa Noite; Secreto Desejo; 0.8098
Lágrima; Hino Do Lagoa Azul; 0.8090
Noite Puxa Noite; Zé Fadista; 0.8089
Fim De Semana; Secreto Desejo; 0.8084
Hino Do Caloiro; A Aventura Começou; 0.8077
O Meu Curso; Vamos Ao Festival; 0.8068
Carta Sem Endereço; Digressão; 0.8067
Vamos Ao Festival; Digressão; 0.8065
A Aventura Começou; Secreto Desejo; 0.8061
A Aventura Começou; Hino Do Lagoa Azul; 0.8057
Lua Feiticeira; Hino Do Lagoa Azul; 0.8049
Azevinho; Coração de Estudante; 0.8047
Noite Puxa Noite; Digressão; 0.8046
Hino Do Lagoa Azul; Promessa de Estudante; 0.8045
Zé Fadista; Azevinho; 0.8044
Vida De Caloiro; Hino Do Lagoa Azul; 0.8042
Embuste Das Cidras; Fraldiqueiros de Mindelo; 0.8041
Tempo; Hino Do Lagoa Azul; 0.8041
O Meu Curso; Azevinho; 0.8037
Taberna Transmontana; A Tuna!; 0.8037
Azevinho; Digressão; 0.8035
A Aventura Começou; Fraldiqueiros de Mindelo; 0.8029
Lua Feiticeira; Para Ti; 0.8009
Vida De Caloiro; Fraldiqueiros de Mindelo; 0.8008
Carpe Diem; Hino Do Lagoa Azul; 0.8006
Fraldiqueiros de Mindelo; Coração de Estudante; 0.7997
Carta Sem Endereço; Zé Fadista; 0.7993
Taberna Transmontana; Digressão; 0.7992
Lágrima; Zé Fadista; 0.7989
Febres Altas; Fraldiqueiros de Mindelo; 0.7979
Sapo Estudante; Para Ti; 0.7979
Taberna Transmontana; Lado a Lado; 0.7977
Embuste Das Cidras; A Aventura Começou; 0.7973
Febres Altas; Rauss, Quero Voltar; 0.7970
Embuste Das Cidras; Rauss, Quero Voltar; 0.7963
O Meu Curso; Digressão; 0.7959
A Tuna!; Azevinho; 0.7956
Febres Altas; Para Ti; 0.7956
Zé Fadista; Para Ti; 0.7955
Sapo Estudante; Zé Fadista; 0.7953
Sempre Bragança; Tempo; 0.7950
Tempo; Zé Fadista; 0.7949
Promessa de Estudante; Vamos Ao Festival; 0.7947
Carpe Diem; Azevinho; 0.7945
Fim De Semana; Fraldiqueiros de Mindelo; 0.7942
Hino Do Caloiro; Vida De Caloiro; 0.7941
A Tuna!; Hino Do Lagoa Azul; 0.7930
Lua Feiticeira; Sapo Estudante; 0.7915
Vamos Ao Festival; Hino da RaussTuna; 0.7914
O Meu Curso; Zé Fadista; 0.7901
Hino da RaussTuna; Para Ti; 0.7896
Hino Do Lagoa Azul; Digressão; 0.7885
Zé Fadista; Promessa de Estudante; 0.7879
Tempo; Azevinho; 0.7866
Taberna Transmontana; Hino da RaussTuna; 0.7866
Lágrima; Azevinho; 0.7862
Fraldiqueiros de Mindelo; Serenata Menina; 0.7858
Embuste Das Cidras; O Meu Curso; 0.7857
Promessa de Estudante; Para Ti; 0.7834
Lágrima; Digressão; 0.7831
Embuste Das Cidras; Lágrima; 0.7827
A Tuna!; Fraldiqueiros de Mindelo; 0.7826
Febres Altas; Sempre Bragança; 0.7821
Rauss, Quero Voltar; Para Ti; 0.7819
Carpe Diem; Fraldiqueiros de Mindelo; 0.7818
Hino Do Lagoa Azul; Coração de Estudante; 0.7815
Embuste Das Cidras; Vida De Caloiro; 0.7812
Embuste Das Cidras; Febres Altas; 0.7810
Noite Puxa Noite; Vamos Ao Festival; 0.7807
Lua Feiticeira; Azevinho; 0.7801
Zé Fadista; Coração de Estudante; 0.7791
Vida De Caloiro; Para Ti; 0.7789
Secreto Desejo; Fraldiqueiros de Mindelo; 0.7781
Zé Fadista; Lado a Lado; 0.7780
Taberna Transmontana; Lua Feiticeira; 0.7766
Embuste Das Cidras; Serenata Menina; 0.7762
Rauss, Quero Voltar; Fraldiqueiros de Mindelo; 0.7753
Vida De Caloiro; Vamos Ao Festival; 0.7749
O Meu Curso; Hino Do Lagoa Azul; 0.7746
Noite Puxa Noite; Para Ti; 0.7743
Fraldiqueiros de Mindelo; Vamos Ao Festival; 0.7736
Taberna Transmontana; Para Ti; 0.7734
Fraldiqueiros de Mindelo; Hino da RaussTuna; 0.7718
Vida De Caloiro; Rauss&Tuna'S; 0.7712
Sempre Bragança; Para Ti; 0.7698
Rauss&Tuna'S; Hino da RaussTuna; 0.7696
Sempre Bragança; Digressão; 0.7695
Febres Altas; Secreto Desejo; 0.7689
Carpe Diem; Vamos Ao Festival; 0.7678
Taberna Transmontana; Carpe Diem; 0.7673
Taberna Transmontana; Coração de Estudante; 0.7667
Sempre Bragança; Lua Feiticeira; 0.7667
Lua Feiticeira; Zé Fadista; 0.7657
Embuste Das Cidras; Hino da RaussTuna; 0.7653
Carta Sem Endereço; Lua Feiticeira; 0.7645
Sempre Bragança; Promessa de Estudante; 0.7643
Secreto Desejo; Azevinho; 0.7632
A Aventura Começou; Zé Fadista; 0.7632
O Meu Curso; Rauss&Tuna'S; 0.7627
Secreto Desejo; Digressão; 0.7626
Febres Altas; Digressão; 0.7613
Lua Feiticeira; Digressão; 0.7601
Fim De Semana; Zé Fadista; 0.7595
Para Ti; Digressão; 0.7585
Sempre Bragança; Noite Puxa Noite; 0.7577
Fim De Semana; Para Ti; 0.7562
Zé Fadista; Rauss, Quero Voltar; 0.7560
Lua Feiticeira; Noite Puxa Noite; 0.7559
Sempre Bragança; Hino Do Lagoa Azul; 0.7556
Embuste Das Cidras; Carpe Diem; 0.7549
Embuste Das Cidras; A Tuna!; 0.7538
Embuste Das Cidras; Vamos Ao Festival; 0.7537
Secreto Desejo; Zé Fadista; 0.7528
Secreto Desejo; Hino Do Lagoa Azul; 0.7522
Sempre Bragança; Zé Fadista; 0.7514
Vida De Caloiro; Lua Feiticeira; 0.7512
Embuste Das Cidras; Digressão; 0.7511
Taberna Transmontana; Fraldiqueiros de Mindelo; 0.7508
Carta Sem Endereço; Vamos Ao Festival; 0.7508
Zé Fadista; Hino Do Lagoa Azul; 0.7507
Lua Feiticeira; Rauss, Quero Voltar; 0.7506
Taberna Transmontana; Sempre Bragança; 0.7505
Vida De Caloiro; Zé Fadista; 0.7493
Embuste Das Cidras; Azevinho; 0.7480
Rauss&Tuna'S; Lado a Lado; 0.7447
A Aventura Começou; Para Ti; 0.7446
Fraldiqueiros de Mindelo; Para Ti; 0.7442
Embuste Das Cidras; Tempo; 0.7440
Hino Do Lagoa Azul; Vamos Ao Festival; 0.7429
Fraldiqueiros de Mindelo; Lado a Lado; 0.7390
Embuste Das Cidras; Coração de Estudante; 0.7389
A Tuna!; Rauss&Tuna'S; 0.7387
Embuste Das Cidras; Hino Do Lagoa Azul; 0.7384
Vamos Ao Festival; Lado a Lado; 0.7375
Embuste Das Cidras; Lado a Lado; 0.7352
Hino Do Caloiro; Sempre Bragança; 0.7352
Sempre Bragança; Fraldiqueiros de Mindelo; 0.7351
Fraldiqueiros de Mindelo; Digressão; 0.7334
Zé Fadista; Hino da RaussTuna; 0.7333
Carpe Diem; Rauss&Tuna'S; 0.7330
Rauss&Tuna'S; Rauss, Quero Voltar; 0.7326
Rauss&Tuna'S; Vamos Ao Festival; 0.7323
Azevinho; Vamos Ao Festival; 0.7321
Sapo Estudante; Rauss&Tuna'S; 0.7280
Sempre Bragança; Vamos Ao Festival; 0.7276
Lua Feiticeira; O Meu Curso; 0.7271
Carpe Diem; Zé Fadista; 0.7267
Rauss&Tuna'S; Digressão; 0.7263
Fim De Semana; Rauss&Tuna'S; 0.7263
Embuste Das Cidras; Secreto Desejo; 0.7255
Zé Fadista; Digressão; 0.7243
Tempo; Fraldiqueiros de Mindelo; 0.7231
Zé Fadista; Fraldiqueiros de Mindelo; 0.7213
Rauss&Tuna'S; Serenata Menina; 0.7199
Vamos Ao Festival; Serenata Menina; 0.7192
Sempre Bragança; Rauss&Tuna'S; 0.7183
A Tuna!; Vamos Ao Festival; 0.7181
Vamos Ao Festival; Coração de Estudante; 0.7146
Taberna Transmontana; Vamos Ao Festival; 0.7141
Fraldiqueiros de Mindelo; Hino Do Lagoa Azul; 0.7141
Fraldiqueiros de Mindelo; Azevinho; 0.7132
Lágrima; Rauss&Tuna'S; 0.7119
Hino Do Lagoa Azul; Para Ti; 0.7111
Hino Do Caloiro; O Meu Curso; 0.7088
Azevinho; Para Ti; 0.7081
Fim De Semana; Lua Feiticeira; 0.7080
Embuste Das Cidras; Zé Fadista; 0.7080
Hino Do Caloiro; Hino da RaussTuna; 0.7065
Lágrima; Vamos Ao Festival; 0.7040
Embuste Das Cidras; Para Ti; 0.7026
Carta Sem Endereço; Rauss&Tuna'S; 0.7018
Lua Feiticeira; Promessa de Estudante; 0.7012
A Aventura Começou; Lua Feiticeira; 0.6978
Febres Altas; Vamos Ao Festival; 0.6976
A Aventura Começou; Rauss&Tuna'S; 0.6972
Rauss&Tuna'S; Promessa de Estudante; 0.6931
Rauss&Tuna'S; Para Ti; 0.6912
