song1; song2; similarity
Hino Do Caloiro; Azevinho; 0.4066
Rauss&Tuna'S; Vamos Ao Festival; 0.4026
Taberna Transmontana; Hino Do Caloiro; 0.4022
Hino Do Caloiro; Zé Fadista; 0.3981
Vamos Ao Festival; Para Ti; 0.3973
Hino Do Caloiro; Febres Altas; 0.3972
Zé Fadista; Vamos Ao Festival; 0.3919
Hino Do Caloiro; Lado a Lado; 0.3887
Febres Altas; Vamos Ao Festival; 0.3813
Hino Do Caloiro; Hino Do Lagoa Azul; 0.3799
Sempre Bragança; Fraldiqueiros de Mindelo; 0.3780
Sempre Bragança; Noite Puxa Noite; 0.3714
Hino Do Caloiro; Noite Puxa Noite; 0.3695
Lágrima; Hino Do Caloiro; 0.3680
Rauss&Tuna'S; Digressão; 0.3670
Hino Do Caloiro; Tempo; 0.3652
Rauss&Tuna'S; Rauss, Quero Voltar; 0.3651
Hino Do Caloiro; Para Ti; 0.3603
Sempre Bragança; Vamos Ao Festival; 0.3589
Rauss&Tuna'S; Serenata Menina; 0.3558
Vida De Caloiro; Rauss&Tuna'S; 0.3545
Sapo Estudante; Rauss&Tuna'S; 0.3543
Rauss&Tuna'S; Lado a Lado; 0.3479
Taberna Transmontana; Rauss&Tuna'S; 0.3467
Rauss&Tuna'S; Azevinho; 0.3371
Zé Fadista; Rauss&Tuna'S; 0.3309
Lua Feiticeira; Rauss&Tuna'S; 0.3300
Carpe Diem; Rauss&Tuna'S; 0.3286
Rauss&Tuna'S; Coração de Estudante; 0.3270
Fim De Semana; Rauss&Tuna'S; 0.3204
A Aventura Começou; Rauss&Tuna'S; 0.3178
Rauss&Tuna'S; Hino Do Lagoa Azul; 0.3159
A Tuna!; Rauss&Tuna'S; 0.3157
Rauss&Tuna'S; Promessa de Estudante; 0.3150
Febres Altas; Rauss&Tuna'S; 0.3141
Carta Sem Endereço; Rauss&Tuna'S; 0.3003
Tempo; Rauss&Tuna'S; 0.2942
Embuste Das Cidras; Hino Do Caloiro; 0.2927
Sempre Bragança; Rauss&Tuna'S; 0.2906
Embuste Das Cidras; Sempre Bragança; 0.2904
Lágrima; Rauss&Tuna'S; 0.2769
Rauss&Tuna'S; Para Ti; 0.2764
Rauss&Tuna'S; Fraldiqueiros de Mindelo; 0.2737
Noite Puxa Noite; Rauss&Tuna'S; 0.2713
Secreto Desejo; Rauss&Tuna'S; 0.2683
Hino Do Caloiro; Rauss&Tuna'S; 0.2656
Embuste Das Cidras; Rauss&Tuna'S; 0.2584
